"me003"	::Yeah, I think I got my mike on.	::	0
"me003"	::O_K.	::	0
"me003"	::Let's see.	::	0
"me010"	::O_K. Ami, do yours then we'll open it and I think it'll be enough.	::	0
"me003"	::Mmm Doesn't, uh It should be the other way. Yeah, now it's on.	::	0
"mn036"	::Right. O_K.	::	0
"me010"	::O_K. So, we all switched on?	::	0
"me003"	::We are all switched on, yeah.	::	0
"me010"	::Alright. Anyway. So, uh, before we get started with the, uh, technical part, I just want to review what I think is happening with the	::	0
"mn036"	::We are all switched on.	::	0
"me010"	::our data collection. So	::	0
"me010"	::Uh, probably after today,	::	0
"me010"	::that shouldn't come up in this meeting. this this is should be it isn't There's another thing going on of gathering data,	::	0
"me010"	::and that's pretty much independent of this.	::	0
"me010"	::But, uh, I just want to make sure we're all together on this.	::	0
"me010"	::What we think is gonna happen is that,	::	1
"me010"	::uh, in parallel starting about now we're gonna get Fey	::	0
"me010"	::to,	::	1
"me010"	::where you're working with me and Robert, draft a note that we're gonna send out to various CogSci and other classes saying, "here's an opportunity to be a subject.	::	1
"me010"	::Contact Fey."	::	0
"me010"	::And then there'll be a certain number of um, hours during the week which she will be available and we'll bring in	::	0
"me010"	::people. Uh, roughly how many, Robert?	::	0
"me010"	::We Do we know?	::	0
"mn015"	::Um, fifty was our sort of our first	::	0
"me010"	::O_K. So, we're looking for a total of fifty people, not necessarily by any means all students but we'll we'll start with with that.	::	1
"me010"	::In parallel with that, we're gonna need to actually do the script.	::	1
"me010"	::And, so, I guess there's a plan to have a meeting Friday afternoon	::	0
"me010"	::Uh, with uh, Jane, and maybe Liz and whoever, on actually getting the script worked out.	::	0
"me010"	::But what I'd like to do, if it's O_ K,	::	1
"me010"	::is to	::	0
"me010"	::to, as I say, start the recruiting in parallel and possibly start running subjects next week.	::	1
"me010"	::The week after that's Spring Break, and maybe we'll look for them some subjects next door or	::	0
"mn015"	::Yeah.	::	0
"mn015"	::Yeah. Also, Fey will not be here during spring break. So.	::	0
"me010"	::Oh, O_K, then we won't do it. O_K. So that's easy.	::	0
"me010"	::Um.	::	0
"me010"	::So, is Is that	::	0
"me010"	::make sense to everybody?	::	0
"mn015"	::Yeah. Also, um, both Fey and I will, um,	::	0
"mn015"	::do something of which I may, eh	::	0
"mn015"	::kindly ask you to to do the same thing, which is we gonna check out our social infrastructures for possible subjects. Meaning,	::	1
"mn015"	::um, kid children's gymnastic classes, pre-school parents and so forth.	::	0
"mn015"	::They also sometimes have flexible schedules.	::	0
"mn015"	::So, if you happen to be sort of in a non-student social setting, and you know people who may be interested in being subjects	::	0
